Anio,Punto_de_muestreo,Punto,Rio,OD_porcentaje,pH,DQO,CE,SST
2012,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,117.71,764.0,2230.0,20500.0,800.0
"2012,""Salida(El Ancla, antes de desembocar el Rio Cali)"",Salida,Aguacatal,124.15,738.0,2880.0,41200.0,2700.0"
2012,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,63.44,720.0,9300.0,9900.0,280.0
2012,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,55.38,673.0,42500.0,40600.0,19300.0
2012,Entrada al perimetro urbano (Colegio Ideas),Entrada,Ca̱averalejo,86.59,732.0,2590.0,18600.0,500.0
"2012,""Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)"",Salida,Ca̱averalejo,17.42,631.0,8880.0,42600.0,5050.0"
2012,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,60.99,570.0,21270.0,33900.0,1200.0
2012,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,66.69,649.0,11640.0,22500.0,2440.0
"2012,""Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)"",Entrada,Melendez,69.32,710.0,19000.0,7180.0,640.0"
2012,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,53.82,712.0,28500.0,11450.0,680.0
2012,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,97.8,696.0,12110.0,3690.0,240.0
"2012,""Salida ( Puente La Viga, Via Ca̱as Gordas)"",Salida,Pance,98.02,608.0,13010.0,3800.0,1040.0"
2013,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,,820.0,3000.0,26000.0,1414.0
2013,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,,793.0,7872.0,40200.0,2066.0
"2013,""Salida(El Ancla, antes de desembocar el Rio Cali)"",Salida,Aguacatal,,789.0,6848.0,40100.0,1540.0"
2013,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,,729.0,703.0,13100.0,743.0
"2013,""Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)"",Intermedio,Cali,,762.0,2510.0,22200.0,1622.0"
2013,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,,772.0,1807.0,22900.0,1755.0
"2013,""Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)"",Intermedio,Cali,,790.0,2410.0,25000.0,2050.0"
2013,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,,763.0,2108.0,30700.0,1346.0
2013,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,,750.0,5152.0,30500.0,493.0
2013,Entrada al perimetro urbano (Colegio Ideas),Entrada,Ca̱averalejo,,731.0,2500.0,22700.0,680.0
2013,Intermedio  (Plaza de Toros),Intermedio,Ca̱averalejo,,772.0,6592.0,26200.0,2860.0
"2013,""Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)"",Salida,Ca̱averalejo,,682.0,16768.0,46600.0,11580.0"
2013,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,,376.0,703.0,43300.0,3291.0
2013,Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31),Intermedio,Lili,,581.0,602.0,34700.0,2600.0
2013,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,,665.0,1104.0,24700.0,887.0
"2013,""Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)"",Entrada,Melendez,,705.0,400.0,9520.0,612.0"
"2013,""Intermedio (Pasoancho, Cra 80 Con Cll13)"",Intermedio,Melendez,,689.0,1100.0,10440.0,2313.0"
"2013,""Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar)"",Intermedio,Melendez,,693.0,2100.0,14830.0,883.0"
2013,Salida del perimetro urbano (Aguas del Sur - PTAR Caney),Salida,Melendez,,711.0,2700.0,15830.0,893.0
2013,Entrada al perimetro urbano(Puente Sede DeporCali),Entrada,Pance,,760.0,800.0,4190.0,926.0
"2013,""Salida ( Puente La Viga, Via Ca̱as Gordas)"",Salida,Pance,,770.0,1700.0,4860.0,423.0"
2014,Entrada al perimetro urbano (Puente Azul),Entrada,Aguacatal,,725.0,2153.0,26100.0,400.0
2014,Intermedio (Despues de la Quebrada el Chocho  En el Sifon),Intermedio,Aguacatal,,750.0,2549.0,56900.0,1233.0
"2014,""Salida(El Ancla, antes de desembocar el Rio Cali)"",Salida,Aguacatal,,760.0,2328.0,55700.0,1000.0"
2014,Entrada al perimetro urbano (Bocatoma Acueducto San Antonio),Entrada,Cali,,745.0,1486.0,9850.0,617.0
"2014,""Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia)"",Intermedio,Cali,,705.0,2426.0,34200.0,875.0"
2014,Intermedio (Frente a la Clinica Los Remedios),Intermedio,Cali,,799.0,2043.0,29600.0,2041.0
"2014,""Intermedio (Frente al barrio La Isla, Puente Cancha Vivero)"",Intermedio,Cali,,864.0,3273.0,16730.0,3000.0"
2014,Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A),Intermedio,Cali,,851.0,3955.0,28900.0,950.0
2014,Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca),Salida,Cali,,721.0,8790.0,37400.0,2229.0
2014,Entrada al perimetro urbano (Colegio Ideas),Entrada,Ca̱averalejo,,729.0,2315.0,20500.0,617.0
2014,Intermedio  (Plaza de Toros),Intermedio,Ca̱averalejo,,714.0,2633.0,23600.0,1233.0
"2014,""Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17)"",Salida,Ca̱averalejo,,642.0,24309.0,55900.0,13833.0"
2014,Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera),Entrada,Lili,,395.0,1988.0,35700.0,1221.0
2014,Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31),Intermedio,Lili,,612.0,2066.0,28400.0,617.0
2014,Salida del perimetro urbano(Puente via Panamericana Cali-Popayan),Salida,Lili,,687.0,3947.0,21400.0,617.0
"2014,""Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar)"",Entrada,Melendez,,824.0,1759.0,13650.0,617.0"
"2014,""Intermedio (Pasoancho, Cra 80 Con Cll13)"",Intermedio,Melendez,,9990.0,1482.0,12570.0,617.0"
