Anio;Punto_de_muestreo;Punto;Rio;OD_porcentaje;pH;DQO;CE;SST
2012;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;117.71;764.0;2230.0;20500.0;800.0
2012;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;124.15;738.0;2880.0;41200.0;2700.0
2012;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;63.44;720.0;9300.0;9900.0;280.0
2012;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;55.38;673.0;42500.0;40600.0;19300.0
2012;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;86.59;732.0;2590.0;18600.0;500.0
2012;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;CaÃ±averalejo;17.42;631.0;8880.0;42600.0;5050.0
2012;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;60.99;570.0;21270.0;33900.0;1200.0
2012;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;66.69;649.0;11640.0;22500.0;2440.0
2012;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;69.32;710.0;19000.0;7180.0;640.0
2012;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;53.82;712.0;28500.0;11450.0;680.0
2012;Entrada al perimetro urbano(Puente Sede DeporCali);Entrada;Pance;97.8;696.0;12110.0;3690.0;240.0
2012;Salida ( Puente La Viga, Via CaÃ±as Gordas);Salida;Pance;98.02;608.0;13010.0;3800.0;1040.0
2013;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;;820.0;3000.0;26000.0;1414.0
2013;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;;793.0;7872.0;40200.0;2066.0
2013;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;;789.0;6848.0;40100.0;1540.0
2013;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;;729.0;703.0;13100.0;743.0
2013;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;;762.0;2510.0;22200.0;1622.0
2013;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;;772.0;1807.0;22900.0;1755.0
2013;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;;790.0;2410.0;25000.0;2050.0
2013;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;;763.0;2108.0;30700.0;1346.0
2013;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;;750.0;5152.0;30500.0;493.0
2013;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;;731.0;2500.0;22700.0;680.0
2013;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;;772.0;6592.0;26200.0;2860.0
2013;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;CaÃ±averalejo;;682.0;16768.0;46600.0;11580.0
2013;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;;376.0;703.0;43300.0;3291.0
2013;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Intermedio;Lili;;581.0;602.0;34700.0;2600.0
2013;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;;665.0;1104.0;24700.0;887.0
2013;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;;705.0;400.0;9520.0;612.0
2013;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;;689.0;1100.0;10440.0;2313.0
2013;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;;693.0;2100.0;14830.0;883.0
2013;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;;711.0;2700.0;15830.0;893.0
2013;Entrada al perimetro urbano(Puente Sede DeporCali);Entrada;Pance;;760.0;800.0;4190.0;926.0
2013;Salida ( Puente La Viga, Via CaÃ±as Gordas);Salida;Pance;;770.0;1700.0;4860.0;423.0
2014;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;;725.0;2153.0;26100.0;400.0
2014;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;;750.0;2549.0;56900.0;1233.0
2014;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;;760.0;2328.0;55700.0;1000.0
2014;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;;745.0;1486.0;9850.0;617.0
2014;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;;705.0;2426.0;34200.0;875.0
2014;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;;799.0;2043.0;29600.0;2041.0
2014;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;;864.0;3273.0;16730.0;3000.0
2014;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;;851.0;3955.0;28900.0;950.0
2014;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;;721.0;8790.0;37400.0;2229.0
2014;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;;729.0;2315.0;20500.0;617.0
2014;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;;714.0;2633.0;23600.0;1233.0
2014;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;CaÃ±averalejo;;642.0;24309.0;55900.0;13833.0
2014;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;;395.0;1988.0;35700.0;1221.0
2014;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Intermedio;Lili;;612.0;2066.0;28400.0;617.0
2014;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;;687.0;3947.0;21400.0;617.0
2014;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;;824.0;1759.0;13650.0;617.0
2014;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;;9990.0;1482.0;12570.0;617.0
2014;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;;692.0;22282.0;33400.0;10600.0
2014;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;;706.0;12421.0;36000.0;4500.0
2014;Entrada al perimetro urbano(Puente Sede DeporCali);Entrada;Pance;;726.0;1616.0;4090.0;617.0
2014;Intermedio (Mina Material de arrastre, Entrada via destapada);Intermedio;Pance;;746.0;2306.0;4330.0;617.0
2014;Salida ( Puente La Viga, Via CaÃ±as Gordas);Salida;Pance;;754.0;1476.0;4420.0;617.0
2015;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;74.59;743.0;1900.0;27500.0;520.0
2015;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;75.85;764.0;2460.0;53000.0;725.0
2015;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;70.94;770.0;2150.0;52600.0;560.0
2015;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;100.77;715.0;800.0;16490.0;175.0
2015;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;99.54;743.0;2432.0;47200.0;1600.0
2015;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;78.03;852.0;2300.0;43500.0;2800.0
2015;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;88.07;846.0;1600.0;47200.0;1600.0
2015;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;78.32;854.0;1800.0;42000.0;2400.0
2015;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;62.14;658.0;20700.0;65000.0;4800.0
2015;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;65.45;706.0;1217.0;23900.0;680.0
2015;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;63.89;725.0;820.0;24700.0;160.0
2015;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;CaÃ±averalejo;39.94;635.0;7303.0;40400.0;29800.0
2015;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;91.5;392.0;800.0;43600.0;240.0
2015;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Intermedio;Lili;60.49;554.0;980.0;37700.0;300.0
2015;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;85.51;610.0;1040.0;35500.0;340.0
2015;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;92.97;770.0;1689.0;16680.0;1160.0
2015;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;56.72;762.0;974.0;17120.0;3000.0
2015;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;64.89;778.0;848.0;15820.0;2760.0
2015;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;0.0;723.0;11500.0;53300.0;3700.0
2015;Entrada al perimetro urbano(Puente Sede DeporCali);Entrada;Pance;98.27;679.0;800.0;5340.0;160.0
2015;Intermedio (Mina Material de arrastre, Entrada via destapada);Intermedio;Pance;94.63;760.0;800.0;6620.0;240.0
2015;Salida ( Puente La Viga, Via CaÃ±as Gordas);Salida;Pance;93.5;825.0;810.0;6720.0;200.0
2016;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;77.35;788.0;181.0;300.0;1525.0
2016;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;70.52;777.0;193.0;414.0;255.0
2016;Salida (El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;60.11;787.0;69.0;803.0;686.0
2016;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;101.61;803.0;12.0;1188.0;7.0
2016;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;79.52;762.0;1431.0;286.0;13.0
2016;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;86.69;791.0;12.0;260.0;12.0
2016;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;96.79;677.0;194.0;261.0;325.0
2016;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;89.79;737.0;1801.0;276.0;355.0
2016;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;31.7;745.0;17711.0;438.0;45.0
2016;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;70.01;763.0;12.0;2024.0;7.0
2016;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;65.56;767.0;12.0;2118.0;7.0
2016;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;46.29;4.0;12.0;448.0;7.0
2016;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Intermedio;Lili;68.26;661.0;12.0;226.0;7.0
2016;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;71.89;665.0;13.0;1991.0;7.0
2016;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;84.8;772.0;12.0;1204.0;7.0
2016;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;76.41;762.0;12.0;125.0;7.0
2016;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;69.26;73.0;12.0;1214.0;7.0
2016;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;54.81;729.0;355.0;241.0;7.0
2016;Entrada al perimetro urbano(Puente Sede DeporCali);Entrada;Pance;106.57;712.0;12.0;445.0;7.0
2016;Intermedio (Mina Material de arrastre, Entrada via destapada);Intermedio;Pance;112.97;841.0;12.0;473.0;7.0
2016;Salida ( Puente La Viga, Via CaÃ±as Gordas);Salida;Pance;103.23;84.0;12.0;474.0;73.0
2016;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;97.19;855.0;1631.0;26600.0;2100.0
2016;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;74.66;779.0;1988.0;63400.0;2346.0
2016;Salida (El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;85.63;812.0;1632.0;35200.0;2080.0
2016;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;106.09;796.0;1200.0;14690.0;1157.0
2016;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;98.18;758.0;1200.0;14620.0;2050.0
2016;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;104.68;792.0;1200.0;14890.0;2140.0
2016;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;96.67;677.0;1653.0;15080.0;2348.0
2016;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;93.83;739.0;1200.0;15680.0;2650.0
2016;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;60.64;747.0;7860.0;25500.0;2800.0
2016;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;65.39;737.0;1200.0;20280.0;1157.0
2016;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;54.02;743.0;2966.0;26100.0;1300.0
2016;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;CaÃ±averalejo;62.89;737.0;7647.0;37100.0;8500.0
2016;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Entrada;Lili;56.26;628.0;1370.0;33800.0;5100.0
2016;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Intermedio;Lili;77.52;654.0;1200.0;18910.0;1120.0
2016;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Salida;Lili;57.35;657.0;1232.0;16220.0;980.0
2016;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;94.63;764.0;1200.0;7490.0;2200.0
2016;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;78.73;749.0;1200.0;7650.0;2650.0
2016;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;78.67;728.0;1200.0;11040.0;1875.0
2016;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;80.6;752.0;1627.0;12150.0;2000.0
2016;Entrada al perimetro urbano(Puente Sede DeporCali);Entrada;Pance;96.13;738.0;1200.0;3230.0;700.0
2016;Intermedio (Mina Material de arrastre, Entrada via destapada);Intermedio;Pance;101.64;715.0;1200.0;3540.0;712.0
2016;Salida ( Puente La Viga, Via CaÃ±as Gordas);Salida;Pance;93.37;690.0;1200.0;3520.0;1100.0
2017;Entrada al perimetro urbano (Puente Azul);Entrada;Aguacatal;54.74;816.0;120.0;247.0;700.0
2017;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;51.68;815.0;120.0;400.0;700.0
2017;Salida (El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;47.45;612.0;120.0;380.0;743.0
2017;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;59.35;756.0;120.0;104.0;700.0
2017;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;59.39;717.0;120.0;196.0;1760.0
2017;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;54.16;738.0;120.0;193.0;2450.0
2017;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;49.3;756.0;120.0;189.0;2500.0
2017;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;47.74;788.0;120.0;163.0;2650.0
2017;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;44.87;748.0;278.0;216.0;4350.0
2017;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;50.74;787.0;120.0;184.0;1300.0
2017;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;45.08;779.0;129.0;219.0;18400.0
2017;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;CaÃ±averalejo;10.0;665.0;1128.0;465.0;20500.0
2017;Entrada (Al lado de la ecas la riverita - inicio del perimetro urbano)**;Entrada;Lili;71.86;671.0;120.0;257.0;1430.0
2017;Salida (Despues del puente via panamericana)**;Salida;Lili;69.92;698.0;120.0;151.0;850.0
2017;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;81.83;730.0;120.0;60.0;962.0
2017;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;63.03;762.0;120.0;67.0;1075.0
2017;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;56.84;773.0;120.0;73.0;1016.0
2017;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;45.73;720.0;120.0;36.0;787.0
2017;Entrada perimetro urbano K122 Av 10 de Mayo**;Entrada;Pance;57.57;700.0;120.0;40.0;700.0
2017;Salida perimetro urbano K 127 Av  el Banco**;Salida;Pance;45.73;720.0;120.0;36.0;787.0
2017;Entrada al perimetro urbano (Las Palmas);Entrada;Aguacatal;78.89;777.0;1200.0;19800.0;480.0
2017;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;72.37;736.0;1200.0;40800.0;600.0
2017;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;76.38;744.0;1200.0;40000.0;720.0
2017;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Entrada;Cali;65.95;748.0;1200.0;9030.0;400.0
2017;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;58.13;720.0;1200.0;18690.0;1540.0
2017;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;55.87;721.0;1200.0;21130.0;2250.0
2017;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;50.95;750.0;1200.0;21400.0;2300.0
2017;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;53.0;772.0;1200.0;21770.0;2420.0
2017;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;44.87;748.0;3014.0;24120.0;2500.0
2017;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;51.58;771.0;3537.0;19920.0;14900.0
2017;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;48.95;782.0;2741.0;21820.0;10500.0
2017;Salida (Antes de desemboocar al Canal Sur, Cra 50 Cll 17);Salida;CaÃ±averalejo;10.77;673.0;9320.0;39700.0;18500.0
2017;Entrada (Finca El Forraje - VÃ­a la Buitrera - Inicio del perimetro urbano)**;Entrada;Lili;74.75;683.0;1200.0;35200.0;1040.0
2017;Salida (Despues del puente via panamericana)**;Salida;Lili;70.68;702.0;1200.0;19070.0;18500.0
2017;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);Entrada;Melendez;83.9;772.0;1200.0;6500.0;820.0
2017;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;87.43;772.0;1200.0;6630.0;960.0
2017;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;67.18;782.0;1200.0;9710.0;1000.0
2017;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;73.75;761.0;1200.0;9500.0;980.0
2017;Entrada perimetro urbano K122 Av 10 de Mayo**;Entrada;Pance;61.01;710.0;1200.0;3780.0;280.0
2017;Salida perimetro urbano K 127 Av el Banco**;Salida;Pance;47.97;730.0;1200.0;3850.0;360.0
2018;Entrada al perimetro urbano (Las Palmas);Entrada;Aguacatal;98.71;795.0;1337.0;20500.0;700.0
2018;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;83.34;721.0;3554.0;50900.0;5700.0
2018;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;64.6;747.0;3542.0;44600.0;5100.0
2018;Entrada Perimetro Urbano  (Frente a Jardin Botanico);Entrada;Cali;99.49;761.0;1200.0;9410.0;700.0
2018;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;97.18;805.0;1200.0;24800.0;700.0
2018;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;99.79;810.0;1200.0;25800.0;700.0
2018;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;101.62;790.0;1200.0;23500.0;700.0
2018;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;122.27;830.0;1200.0;24500.0;1420.0
2018;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;48.36;761.0;1815.0;26500.0;1620.0
2018;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;71.64;755.0;1554.0;19630.0;700.0
2018;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;44.33;743.0;3078.0;23900.0;743.0
2018;Intermedio (Puente Verde);Intermedio;CaÃ±averalejo;0.0;686.0;15452.0;50600.0;15800.0
2018;Salida (Cl 23 Antes descargar Canal Sur);Salida;CaÃ±averalejo;1.76;660.0;22631.0;45100.0;18800.0
2018;Entrada (Entrada  Perimetro Urbano, finca el forraje, via a la Buitrera.)**;Entrada;Lili;70.92;636.0;2179.0;33300.0;7286.0
2018;Salida (Despues del puente via panamericana)**;Salida;Lili;68.95;672.0;3024.0;20400.0;1325.0
2018;Entrada al perimetro urbano (VÃ­a Polvorines puente entrada base militar);Entrada;Melendez;94.51;719.0;1200.0;8300.0;983.0
2018;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;91.71;754.0;1200.0;9100.0;700.0
2018;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;60.68;723.0;1790.0;13700.0;700.0
2018;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;67.43;736.0;2704.0;18000.0;1340.0
2018;Entrada perimetro urbano 230 (Puente  Via Club Deportivo Cali);Entrada;Pance;97.04;7.71;1200.0;2600.0;700.0
2018;Salida perimetro urbano (Puente  Via Club Deportivo Cali);Salida;Pance;93.07;7.91;1200.0;2400.0;700.0
2018;Entrada al perimetro urbano (Las Palmas);Entrada;Aguacatal;97.33;819.0;1200.0;21000.0;700.0
2018;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Intermedio;Aguacatal;84.28;797.0;1669.0;43400.0;700.0
2018;Salida(El Ancla, antes de desembocar el Rio Cali);Salida;Aguacatal;82.35;778.0;2402.0;47000.0;1683.0
2018;Entrada Perimetro Urbano  (Frente a Jardin Botanico);Entrada;Cali;96.6;777.0;1200.0;11400.0;700.0
2018;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Intermedio;Cali;94.25;767.0;1200.0;38700.0;700.0
2018;Intermedio (Frente a la Clinica Los Remedios);Intermedio;Cali;98.98;816.0;1200.0;35900.0;2600.0
2018;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Intermedio;Cali;107.96;800.0;2089.0;40800.0;1830.0
2018;Intermedio (Frente a Cartones America (Cl. 70  Cr. 2A);Intermedio;Cali;106.92;848.0;1200.0;38900.0;1400.0
2018;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Salida;Cali;73.89;707.0;15608.0;38300.0;8500.0
2018;Entrada al perimetro urbano (Colegio Ideas);Entrada;CaÃ±averalejo;60.88;743.0;1200.0;23000.0;1200.0
2018;Intermedio  (Plaza de Toros);Intermedio;CaÃ±averalejo;54.78;784.0;1525.0;25500.0;1083.0
2018;Intermedio (Puente Verde);Intermedio;CaÃ±averalejo;0.0;683.0;22765.0;52200.0;15700.0
2018;Salida (Cl 23 Antes descargar Canal Sur);Salida;CaÃ±averalejo;1.74;675.0;29335.0;57000.0;18500.0
2018;Entrada (Entrada  Perimetro Urbano, finca el forraje, via a la Buitrera.)**;Entrada;Lili;39.43;624.0;1642.0;52900.0;2550.0
2018;Salida (Despues del puente via panamericana)**;Salida;Lili;73.81;681.0;1200.0;22800.0;700.0
2018;Entrada al perimetro urbano (VÃ­a Polvorines puente entrada base militar);Entrada;Melendez;62.94;765.0;1200.0;12200.0;700.0
2018;Intermedio (Pasoancho, Cra 80 Con Cll13);Intermedio;Melendez;80.32;736.0;1200.0;14400.0;700.0
2018;Intermedio  (Av Simon Bolivar, Cra 80 Simon Bolivar);Intermedio;Melendez;46.52;726.0;1381.0;16500.0;700.0
2018;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);Salida;Melendez;29.69;720.0;5113.0;33400.0;3812.0
2018;Entrada perimetro urbano 230 (Puente  Via Club Deportivo Cali);Entrada;Pance;96.07;662.0;1200.0;4550.0;700.0
2018;Salida perimetro urbano (Puente  Via Club Deportivo Cali);Salida;Pance;100.31;707.0;1200.0;4570.0;700.0
