Ano;Fecha;Punto de muestreo;Rio;OD (%);pH;DQO (mg/L);CE (microS/cm);SST (mg/L)
2015;Septiembre 2 de 2015;Entrada al perimetro urbano(Puente Sede DeporCali);Pance;98.27;6.79;8;53.4;1.6
2015;Septiembre 9 de 2015;Intermedio  (Plaza de Toros);Canaveralejo;63.89;7.25;8.2;247;1.6
2015;Septiembre 11 de 2015;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Cali;100.77;7.15;8;164.9;1.75
2015;Septiembre 2 de 2015;Salida ( Puente La Viga, Via Canas Gordas);Pance;93.5;8.25;8.1;67.2;2
2012;NaN;Entrada al perimetro urbano(Puente Sede DeporCali);Pance;97.8;6.96;121.1;36.9;2.4
2015;Septiembre 2 de 2015;Intermedio (Mina Material de arrastre, Entrada via destapada);Pance;94.63;7.6;8;66.2;2.4
2015;Septiembre 3 de 2015;Entrada al perimetro urbano (Finca Pasto Forraje via la Buitrera);Lili;91.5;3.92;8;436;2.4
2012;NaN;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Cali;63.44;7.2;93;99;2.8
2017;Diciembre 21 de 2017;Entrada perimetro urbano K122 Av 10 de Mayo**;Pance;61.01;7.1;12;37.8;2.8
2015;Septiembre 3 de 2015;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Lili;60.49;5.54;9.8;377;3
2015;Septiembre 3 de 2015;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Lili;85.51;6.1;10.4;355;3.4
2017;Diciembre 21 de 2017;Salida perimetro urbano K 127 Av el Banco**;Pance;47.97;7.3;12;38.5;3.6
2017;Diciembre 30 de 2017;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Cali;65.95;7.48;12;90.3;4
2014;Agosto 13 del 2014;Entrada al perimetro urbano (Puente Azul);Aguacatal;6.2;7.25;21.53;261;4
2013;NaN;Salida ( Puente La Viga, Via Canas Gordas);Pance;6.95;7.7;17;48.6;4.23
2017;Diciembre 29 de 2017;Entrada al perimetro urbano (Las Palmas);Aguacatal;78.89;7.77;12;198;4.8
2013;NaN;Salida del perimetro urbano(200 metros antes de desembocadura al Rio Cauca);Cali;3.4;7.5;51.52;305;4.93
2012;NaN;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;86.59;7.32;25.9;186;5
2015;Septiembre 4 de 2015;Entrada al perimetro urbano (Puente Azul);Aguacatal;74.59;7.43;19;275;5.2
2015;Septiembre 4 de 2015;Salida(El Ancla, antes de desembocar el Rio Cali);Aguacatal;70.94;7.7;21.5;526;5.6
2017;Diciembre 29 de 2017;Intermedio (Despues de la Quebrada el Chocho  En el Sifon);Aguacatal;72.37;7.36;12;408;6
2013;NaN;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);MeleNaNez;7.4;7.05;4;95.2;6.12
2014;Junio 29 del 2014;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Cali;7.71;7.45;14.86;98.5;6.17
2014;Junio 23 del 2014;Intermedio (Mina Material de arrastre, Entrada via destapada);Pance;7.49;7.46;23.06;43.3;6.17
2014;Junio 23 del 2014;Salida ( Puente La Viga, Via Canas Gordas);Pance;7.37;7.54;14.76;44.2;6.17
2014;Junio 23 del 2014;Entrada al perimetro urbano(Puente Sede DeporCali);Pance;7.2;7.26;16.16;40.9;6.17
2014;Junio  28 del 2014;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);MeleNaNez;7.13;8.24;17.59;136.5;6.17
2014;Junio  28 del 2014;Intermedio (Pasoancho, Cra 80 Con Cll13);MeleNaNez;6.94;9.99;14.82;125.7;6.17
2014;Junio 24 del 2014;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;5.68;7.29;23.15;205;6.17
2014;Junio 23 del 2014;Salida del perimetro urbano(Puente via Panamericana Cali-Popayan);Lili;4.99;6.87;39.47;214;6.17
2014;Junio 23 del 2014;Intermedio (Cl 16-Cra-102. 100m despues de la descarga PSMV-LV31);Lili;4.38;6.12;20.66;284;6.17
2012;NaN;Entrada al perimetro urbano (Via a La Buitrera, puente Base Militar);MeleNaNez;69.32;7.1;190;71.8;6.4
2015;Septiembre 9 de 2015;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;65.45;7.06;12.17;239;6.8
2012;NaN;Salida del perimetro urbano (Aguas del Sur - PTAR Caney);MeleNaNez;53.82;7.12;285;114.5;6.8
2013;NaN;Entrada al perimetro urbano (Colegio Ideas);Canaveralejo;5;7.31;25;227;6.8
2016;Agosto 1 de 2016;Intermedio (Mina Material de arrastre, Entrada via destapada);Pance;112.97;8.41;12;47.3;7
2016;Agosto 1 de 2016;Entrada al perimetro urbano(Puente Sede DeporCali);Pance;106.57;7.12;12;44.5;7
2018;Marzo 16 de 2018;Intermedio (Frente al barrio La Isla, Puente Cancha Vivero);Cali;101.62;7.9;12;235;7
2016;Agosto 4 de 2016;Entrada al perimetro urbano (Bocatoma Acueducto San Antonio);Cali;101.61;8.03;12;118.8;7
2018;Agosto 31 de 2018;Salida perimetro urbano (Puente  Via Club Deportivo Cali);Pance;100.31;7.07;12;45.7;7
2018;Marzo 16 de 2018;Intermedio (Frente a la Clinica Los Remedios);Cali;99.79;8.1;12;258;7
2018;Marzo 16 de 2018;Entrada Perimetro Urbano  (Frente a Jardin Botanico);Cali;99.49;7.61;12;94.1;7
2018;Junio 25 de 2018;Entrada al perimetro urbano (Las Palmas);Aguacatal;98.71;7.95;13.37;205;7
2018;Septiembre 28 de 2018;Entrada al perimetro urbano (Las Palmas);Aguacatal;97.33;8.19;12;210;7
2018;Marzo 16 de 2018;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;97.18;8.05;12;248;7
2018;Marzo 15 de 2018;Entrada perimetro urbano 230 (Puente  Via Club Deportivo Cali);Pance;97.04;7.71;12;26;7
2018;Septiembre 25 de 2018;Entrada Perimetro Urbano  (Frente a Jardin Botanico);Cali;96.6;7.77;12;114;7
2016;Diciembre 5 de 2016;Entrada al perimetro urbano(Puente Sede DeporCali);Pance;96.13;7.38;12;32.3;7
2018;Agosto 31 de 2018;Entrada perimetro urbano 230 (Puente  Via Club Deportivo Cali);Pance;96.07;6.62;12;45.5;7
2018;Septiembre 25 de 2018;Intermedio (Despues de la entrega del Rio Aguacatal, Frente al Museo La Tertulia);Cali;94.25;7.67;12;387;7
